|            |       Loss |   Precision |   Recall |       F1 |
|------------+------------+-------------+----------+----------|
| Training   | 0.00283064 |    0.943015 |  0.93956 | 0.941284 |
| Evaluation | 0.0184671  |    0.68     |  0.57716 | 0.624374 |

|   Points |    Eval F1 |   Train F1 |
|----------+------------+------------|
|        0 | 0.00381316 | 0.00289157 |
|      100 | 0          | 0          |
|      200 | 0          | 0          |
|      300 | 0          | 0          |
|      400 | 0          | 0          |
|      500 | 0          | 0          |
|      600 | 0          | 0          |
|      700 | 0          | 0          |
|      800 | 0          | 0          |
|      900 | 0          | 0          |
|     1000 | 0          | 0          |
|     1100 | 0          | 0          |
|     1200 | 0          | 0          |
|     1300 | 0.0122699  | 0.00729927 |
|     1400 | 0.0540541  | 0.0465116  |
|     1500 | 0.29064    | 0.24961    |
|     1600 | 0.248062   | 0.203883   |
|     1700 | 0.261965   | 0.262911   |
|     1800 | 0.372457   | 0.476861   |
|     1900 | 0.364807   | 0.472362   |
|     2000 | 0.383333   | 0.565217   |
|     2100 | 0.47138    | 0.667973   |
|     2200 | 0.504762   | 0.745573   |
|     2300 | 0.533333   | 0.765998   |
|     2400 | 0.562832   | 0.792877   |
|     2500 | 0.506637   | 0.69734    |
|     2600 | 0.573964   | 0.814815   |
|     2700 | 0.347395   | 0.744705   |
|     2800 | 0.559748   | 0.847059   |
|     2900 | 0.523697   | 0.769706   |
|     3000 | 0.572451   | 0.871603   |
|     3100 | 0.452747   | 0.860809   |
|     3200 | 0.598639   | 0.83347    |
|     3300 | 0.573566   | 0.816      |
|     3400 | 0.531959   | 0.892578   |
|     3500 | 0.482609   | 0.884885   |
|     3600 | 0.523282   | 0.800313   |
|     3700 | 0.582633   | 0.876224   |
|     3800 | 0.436364   | 0.817797   |
|     3900 | 0.521385   | 0.868966   |
|     4000 | 0.602151   | 0.8922     |
|     4100 | 0.596671   | 0.891192   |
|     4200 | 0.530021   | 0.911907   |
|     4300 | 0.477477   | 0.904995   |
|     4400 | 0.587084   | 0.941395   |
|     4500 | 0.617691   | 0.921147   |
|     4600 | 0.597826   | 0.917254   |
|     4700 | 0.607194   | 0.932856   |
|     4800 | 0.624374   | 0.941284   |
Processed 4900 / 20610 datapoints. Evaluating.

